row1, row2, col1, col2, homogeneity, contrast, dissimilarity, entropy, mean, variance, std.Dev
512.000000, 768.000000, 3584.000000, 3840.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
512.000000, 768.000000, 3840.000000, 4096.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
768.000000, 1024.000000, 1.000000, 256.000000, 0.667126, 1.274144, 0.765194, 3.249063, 5.545464, 9.953862, 3.154974 
768.000000, 1024.000000, 256.000000, 512.000000, 0.674501, 1.172848, 0.736655, 3.177615, 5.553502, 9.728314, 3.119025 
768.000000, 1024.000000, 512.000000, 768.000000, 0.677177, 1.096942, 0.719936, 3.073071, 5.843765, 10.349492, 3.217063 
768.000000, 1024.000000, 768.000000, 1024.000000, 0.730032, 0.868160, 0.594358, 2.794462, 6.384773, 11.555725, 3.399371 
768.000000, 1024.000000, 1024.000000, 1280.000000, 0.752918, 0.856198, 0.553608, 2.780522, 6.329143, 11.223795, 3.350193 
768.000000, 1024.000000, 1280.000000, 1536.000000, 0.670241, 1.325328, 0.768513, 3.032277, 6.254864, 11.627729, 3.409946 
768.000000, 1024.000000, 1536.000000, 1792.000000, 0.673175, 1.228143, 0.748419, 3.034452, 6.140063, 11.222691, 3.350029 
768.000000, 1024.000000, 1792.000000, 2048.000000, 0.670908, 1.147556, 0.738783, 3.110664, 5.646401, 9.698466, 3.114236 
768.000000, 1024.000000, 2048.000000, 2304.000000, 0.697931, 1.025459, 0.673684, 3.104793, 5.775201, 10.372557, 3.220645 
768.000000, 1024.000000, 2304.000000, 2560.000000, 0.964702, 0.210725, 0.089585, 0.675699, 1.513588, 2.559201, 1.599750 
768.000000, 1024.000000, 2560.000000, 2816.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
768.000000, 1024.000000, 2816.000000, 3072.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
768.000000, 1024.000000, 3072.000000, 3328.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
768.000000, 1024.000000, 3328.000000, 3584.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
768.000000, 1024.000000, 3584.000000, 3840.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
768.000000, 1024.000000, 3840.000000, 4096.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
1024.000000, 1280.000000, 1.000000, 256.000000, 0.670078, 1.227298, 0.753079, 3.206353, 5.547570, 9.766287, 3.125106 
1024.000000, 1280.000000, 256.000000, 512.000000, 0.678772, 1.188245, 0.731928, 3.202844, 5.556207, 9.851131, 3.138651 
1024.000000, 1280.000000, 512.000000, 768.000000, 0.680938, 1.101198, 0.714312, 3.140847, 5.583186, 9.738019, 3.120580 
1024.000000, 1280.000000, 768.000000, 1024.000000, 0.698828, 1.055295, 0.677164, 2.953140, 6.187394, 11.264988, 3.356335 
1024.000000, 1280.000000, 1024.000000, 1280.000000, 0.691272, 1.175462, 0.708597, 3.049895, 6.059339, 11.044004, 3.323252 
1024.000000, 1280.000000, 1280.000000, 1536.000000, 0.630442, 1.520975, 0.866853, 3.267764, 5.648179, 10.038116, 3.168299 
1024.000000, 1280.000000, 1536.000000, 1792.000000, 0.646186, 1.310615, 0.807211, 3.099418, 5.869498, 10.365711, 3.219582 
