X,Y,Computed_Area,Computed Perimeter,Border Index,Minimum Ellipse Ratio,Minimum Ellipse Rotation,Minimum Enclosing Circle,Compactness,Edge Count,homogeneity,contrast,dissimilarity,entropy,mean,variance,std.Dev
56.5,276.0,46.0,58.0,841.0,0.237385726241,56.6729049683,9.99949169159,0.171835035086,46.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
60.4,352.6,139.0,62.0,930.0,0.828947926589,84.5858688354,8.65778064728,0.4544031322,44.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
68.4,292.4,102.0,58.0,841.0,0.755905972582,46.8107719421,7.92647600174,0.381025522947,46.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
69.2,313.9,137.0,66.0,1089.0,0.424809791168,38.9799880981,10.6169967651,0.39522331953,52.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
71.3,454.9,213.0,92.0,1978.0,0.67511477642,176.684249878,12.9673690796,0.316237837076,55.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
73.7,489.7,85.0,62.0,961.0,0.340217318557,61.8774414062,11.3065662384,0.277872383595,42.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
67.1,502.2,9.0,26.0,169.0,0.347064970905,50.7320556641,4.43019771576,0.167303755879,22.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
70.3,410.1,49.0,40.0,400.0,0.892557529373,164.615524292,5.76682662964,0.384845137596,34.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
76.2,343.5,16.0,26.0,169.0,0.433798903868,37.6766052246,4.15206289291,0.297428905964,23.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
92.0,296.5,295.0,116.0,3190.0,0.393514974571,52.4643707275,18.2879390717,0.275496393442,85.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
83.3,399.0,108.0,56.0,784.0,0.691849594213,43.4401702881,7.86132574081,0.432770431042,41.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
84.8,411.7,78.0,60.0,900.0,0.435428798003,55.3093833923,9.21259975433,0.272271364927,45.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
92.0,502.4,67.0,46.0,506.0,0.744370621433,66.6715927124,6.57458114624,0.397895485163,34.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
93.9,340.6,96.0,54.0,729.0,0.588031069425,36.682094574,8.75500011444,0.41370767355,37.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
97.4,463.9,44.0,36.0,324.0,0.557882726056,85.9168624878,6.20142126083,0.426636070013,20.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
97.8,358.3,112.0,56.0,756.0,0.789485396094,16.4915885925,8.14286518097,0.448798984289,42.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
107.8,434.8,33.0,32.0,256.0,0.587599714412,67.9727096558,4.88571882248,0.404970943928,27.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
113.6,488.3,78.0,46.0,529.0,0.450976707069,89.473197937,8.30412578583,0.463221609592,26.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
111.2,349.0,52.0,38.0,361.0,0.924258592151,3.89458417892,5.20532178879,0.452528595924,32.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
117.2,277.4,84.0,54.0,729.0,0.458105094099,130.491928101,8.24079227448,0.361994236708,41.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
118.3,414.4,41.0,38.0,342.0,0.443074157189,84.117225647,6.87095689774,0.356801390648,22.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
117.9,477.0,26.0,38.0,361.0,0.421575917099,112.001960754,7.00475740433,0.226264297962,23.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
117.5,292.5,59.0,42.0,441.0,0.358720185022,15.4479703903,7.16178655624,0.420303791761,23.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
123.7,401.7,33.0,28.0,196.0,0.89696466677,55.6681785583,3.92212319374,0.528941631317,22.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
128.7,466.7,27.0,28.0,196.0,0.84336024509,164.774169922,4.35716915131,0.432770431042,21.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
136.8,449.2,49.0,36.0,324.0,0.583439598503,60.4427642822,5.75787496567,0.475117444992,28.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
138.4,277.0,48.0,40.0,400.0,0.53112216378,37.9161949158,6.02792024612,0.376991122961,37.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
141.7,356.1,40.0,40.0,380.0,0.584420569924,30.4223003387,5.87190341949,0.314159274101,31.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
144.3,510.6,73.0,50.0,625.0,0.445025934607,2.15580487251,9.79854393005,0.366938024759,27.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
152.1,406.2,164.0,70.0,1225.0,0.582996758852,152.393814087,10.9126548767,0.420588731766,50.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
153.1,354.0,43.0,42.0,399.0,0.583535407145,168.134735107,6.37019824982,0.306323111057,32.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
157.9,261.6,36.0,32.0,256.0,0.939906560014,178.063186646,4.66352367401,0.441786468029,27.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
170.5,356.7,183.0,98.0,2401.0,0.357187717964,136.510925293,16.423576355,0.239446684718,65.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
167.5,491.6,56.0,42.0,441.0,0.478094961918,137.320983887,7.00475740433,0.398932427168,33.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
174.2,438.0,44.0,36.0,324.0,0.673705768183,46.3483695984,5.06003522873,0.426636070013,31.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
176.5,385.6,76.0,44.0,484.0,0.744059772428,30.5794448853,6.51429224014,0.493307948112,32.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
179.3,305.0,71.0,48.0,576.0,0.463328637503,148.504074097,7.6560254097,0.387244939804,37.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
181.1,420.7,16.0,38.0,361.0,0.221505265248,43.6962089539,6.92861604691,0.139239564538,34.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
184.8,499.4,98.0,60.0,840.0,0.569764982964,153.679916382,8.99408817291,0.342084556818,47.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
192.0,273.2,64.0,50.0,575.0,0.442127911873,80.4632797241,8.25607776642,0.321699082851,33.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
191.1,328.6,59.0,48.0,576.0,0.411215253523,43.5708656311,7.86113405228,0.321795105934,39.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
206.3,460.7,14.0,28.0,182.0,0.540031809724,93.8899383545,4.63500022888,0.224399492145,20.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
214.0,353.8,71.0,42.0,441.0,0.864874163284,115.471763611,6.30529165268,0.505789279938,30.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
223.7,315.0,157.0,86.0,1763.0,0.33441016684,65.5422744751,14.7473564148,0.26675504446,59.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
220.0,391.5,44.0,38.0,361.0,0.71208988119,85.2677841187,5.70646286011,0.382908821106,30.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
222.0,277.3,76.0,44.0,484.0,0.636579189254,53.9469413757,6.94058895111,0.493307948112,28.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
228.4,446.3,96.0,78.0,1287.0,0.693823818822,162.236984253,10.2481336594,0.198285922408,46.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
229.9,473.1,47.0,42.0,441.0,0.381992675007,107.772003174,7.6560254097,0.334818273783,21.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
244.7,259.4,349.0,120.0,3240.0,0.480039606003,84.0391311646,18.7957363129,0.304559975863,76.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
232.5,338.6,43.0,30.0,225.0,0.811893542672,71.2280578613,4.53558301926,0.600393295288,20.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
234.3,375.0,101.0,54.0,729.0,0.659731274538,25.0305233002,8.30412578583,0.435254961252,38.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
239.0,482.2,54.0,46.0,506.0,0.392472217684,107.266304016,8.14286518097,0.320691883564,31.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
233.8,490.0,8.0,24.0,144.0,0.534260993016,68.7229614258,4.15206289291,0.174532935023,17.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
240.6,506.1,7.0,28.0,196.0,0.225666357025,128.122848511,5.15000009537,0.112199746072,25.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
242.4,455.7,83.0,48.0,552.0,0.845542358614,144.674224854,7.13757514954,0.452694773674,29.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
247.6,374.3,90.0,48.0,576.0,0.527229257758,49.4635543823,8.14286518097,0.490873873234,29.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
250.1,384.7,47.0,34.0,289.0,0.793283801528,27.9774589539,5.0721616745,0.510916471481,23.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
254.0,288.7,91.0,48.0,576.0,0.575196779446,62.8668708801,8.30412578583,0.496328026056,30.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
252.3,350.0,49.0,36.0,324.0,0.702894784238,19.1641311646,6.20142126083,0.475117444992,23.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
254.5,451.9,82.0,56.0,756.0,0.505597345429,1.47253668308,9.28429412842,0.328584939241,33.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
5.5,557.6,69.0,40.0,400.0,0.690534776093,121.448776245,6.30491828918,0.541924715042,23.0,0.686011,1.11969,0.708862,3.13991,5.723541,10.268291,3.204417
4.0,578.7,54.0,34.0,289.0,0.689665711273,39.7205543518,6.00588035583,0.587010443211,16.0,0.686011,1.11969,0.708862,3.13991,5.723541,10.268291,3.204417
5.3,615.3,45.0,34.0,289.0,0.464131670138,95.0951385498,5.61350011826,0.489175349474,17.0,0.686011,1.11969,0.708862,3.13991,5.723541,10.268291,3.204417
12.6,760.5,152.0,76.0,1330.0,0.545202255376,67.087600708,10.6169967651,0.33069396019,58.0,0.686011,1.11969,0.708862,3.13991,5.723541,10.268291,3.204417
17.3,634.2,280.0,102.0,2346.0,0.392991363498,17.2436733246,16.8145713806,0.338195294142,61.0,0.686011,1.11969,0.708862,3.13991,5.723541,10.268291,3.204417
17.0,596.7,84.0,50.0,625.0,0.701545906882,58.3968009949,7.16177225113,0.422230064869,35.0,0.686011,1.11969,0.708862,3.13991,5.723541,10.268291,3.204417
17.3,578.5,32.0,28.0,196.0,0.73607607426,104.647537231,4.41829633713,0.512913107872,18.0,0.686011,1.11969,0.708862,3.13991,5.723541,10.268291,3.204417
25.2,717.6,60.0,38.0,361.0,0.59154359794,75.1929092407,6.51429224014,0.522148370743,24.0,0.686011,1.11969,0.708862,3.13991,5.723541,10.268291,3.204417
31.6,517.3,124.0,84.0,1722.0,0.341362822839,35.4040031433,13.1614561081,0.220837578177,64.0,0.686011,1.11969,0.708862,3.13991,5.723541,10.268291,3.204417
33.0,596.5,89.0,52.0,650.0,0.60309890666,90.9078216553,8.06143474579,0.413612037897,29.0,0.686011,1.11969,0.708862,3.13991,5.723541,10.268291,3.204417
35.6,554.1,135.0,60.0,900.0,0.51225321358,57.7369842529,10.7535161972,0.471238911152,32.0,0.686011,1.11969,0.708862,3.13991,5.723541,10.268291,3.204417
35.7,754.9,69.0,40.0,400.0,0.840591416565,109.066757202,5.98513364792,0.541924715042,27.0,0.686011,1.11969,0.708862,3.13991,5.723541,10.268291,3.204417
42.6,580.1,98.0,48.0,576.0,0.784005734048,86.1267471313,7.04214143753,0.534507095814,29.0,0.686011,1.11969,0.708862,3.13991,5.723541,10.268291,3.204417
