row1, row2, col1, col2, homogeneity, contrast, dissimilarity, entropy, mean
3584,3840,3840,4096,1,0,0,0,0.015625
3840,4096,1,256,1,0,0,0,0.015625
3840,4096,256,512,1,0,0,0,0.015625
3840,4096,512,768,1,0,0,0,0.015625
3840,4096,768,1024,1,0,0,0,0.015625
3840,4096,1024,1280,1,0,0,0,0.015625
3840,4096,1280,1536,1,0,0,0,0.015625
3840,4096,1536,1792,1,0,0,0,0.015625
3840,4096,1792,2048,1,0,0,0,0.015625
3840,4096,2048,2304,1,0,0,0,0.015625
3840,4096,2304,2560,1,0,0,0,0.015625
3840,4096,2560,2816,1,0,0,0,0.015625
3840,4096,2816,3072,1,0,0,0,0.015625
3840,4096,3072,3328,1,0,0,0,0.015625
3840,4096,3328,3584,1,0,0,0,0.015625
3840,4096,3584,3840,1,0,0,0,0.015625
3840,4096,3840,4096,1,0,0,0,0.015625
