X,Y
481,1235.9
481.9,1809.5
488.6,182.9
482.2,1334.8
487.6,1448.5
488.7,1666.1
485.1,307
484.3,375.8
484.8,114.2
498.4,227.3
487.5,1587.9
491.9,1364.3
490.2,481.7
488.9,97.1
492.5,292.1
491.6,404.1
491.7,962.5
493.6,158.4
494.5,1129.7
491,1699.9
494.3,1100
490.9,1245.6
494.4,648
496.5,1192.8
497.1,423.9
505.7,880
497.1,1615.2
497.7,715.5
498.7,909.4
497.5,835.2
505.8,1069.8
498.2,1692.9
504.5,1652.5
504.1,55.6
504.1,319.5
505.9,1518.9
505.1,130.7
503.2,379.7
506.7,1129.4
505.6,1445.7
507.9,1629.3
514.4,1313
508.3,1352.3
507.4,1667.5
510.6,529.4
510.1,288.3
511.8,608.9
512.3,1146.2
511.1,1165.4
517.4,159.6
514.6,206.2
518.1,1802.1
516.6,977.7
516.4,909.8
524.3,1034.9
514.8,1341.5
519.9,1714.5
520.1,844.9
519.6,1202.4
522.7,1429.6
522.7,404.1
525.8,1175.3
521.7,681.8
523.8,1401
527.9,954.4
528.6,1083.1
523,1296.6
525,1461.3
524.8,545.2
529.9,1547.6
526.6,1839.7
524.1,2.1
525.3,1235.5
534.3,1646.5
531.4,229.1
524.6,122.7
528.2,521.1
526.9,1361.2
529.5,23.6
527.2,328.6
529.8,1620.7
528.3,1685.8
531.1,1662.2
529.6,1596.9
533.1,347.1
531.5,926.6
538.3,825.7
533,1708
537.9,1194
539.5,864.8
537.9,903.1
539.5,980.1
539.3,1360
539,18.2
539.2,448.2
538.8,1773.6
539.8,60.6
545.1,85.8
542.1,307.1
541.9,405.5
540.4,1243.3
543.5,1036.7
542.4,1730.5
547.1,184.5
545.8,265.2
543.2,612.2
544.2,728.4
544.1,1422.8
547.9,1077.7
544.1,1395.3
547.3,1705
550.4,123.6
545.2,891.5
545.7,1144.7
552.4,836.6
546.1,955.1
549,1841.1
550.1,458.5
546.4,1588.6
552.9,1522.1
553.8,1746
550.6,106.2
552.6,1167.2
552,1297.8
553.7,1383.6
561.1,1430.3
557.9,55.8
552.6,281.2
556.9,227.1
558.1,938.6
559.7,300.8
559.8,960.3
563.8,1255.9
559,334.1
556.8,1550
557.5,1638.6
559.9,1414.2
558.2,155.8
559.7,677.7
559,100.9
562.1,584.7
564.4,810.8
562.1,1821.8
566.7,1281.8
562.3,1305.5
566.2,1331.7
570.6,350.8
566.2,1351.3
572,1140.7
567.7,1601.9
569.2,1011.5
568.8,1228.9
571.9,146.3
571.5,840.1
576.5,1378.8
569.1,1546.9
570.5,1663.2
571.6,677.9
570,685.9
568.1,1675
570.8,1726.5
570.7,1578
572.1,317.1
571,376.9
574.9,637.8
581.7,240.6
574.1,1086.5
577.3,940
579.5,423
580.8,1173.7
578.6,1453.6
578.6,170.4
576.2,275.9
582.8,451.6
577.9,870.4
581.9,1154.8
578.4,485.7
580.7,1247
581.4,951.6
583,1105.4
584.9,1636.7
583.1,1696.1
587.5,65.5
586.8,1463.9
586.9,213.9
589.4,274.5
584.6,338.7
588.8,1825.1
592.1,50.1
590.3,178.6
590.1,1395
588.6,508
591.7,606.7
589.6,1570.8
594.5,1518.1
593.5,247.4
593.3,370
595.6,1064.3
596.2,1602.8
600.3,1483.9
592.8,793.8
593.8,880.8
594.2,1240.7
598.5,15.3
597.9,641.7
597.4,1496.7
598.8,1771.9
598.7,1441.7
604.1,396.6
598.3,1624.5
600.3,1314.7
601.1,1347.3
601.1,1745.6
602.4,258.4
608.2,1144.8
602.8,1274
601.3,1570.9
607.5,1248.6
605.4,1326.7
605.5,318.5
606.9,172.1
608.8,338.1
606.9,803.8
608.3,286.5
606,413.9
613.8,660.1
609.2,1305.6
608,1852.3
610.8,953.2
607.6,1290.7
612.2,1636.1
609.2,736.3
611.9,1839.3
615.8,1165.5
614.6,103.7
613.8,216.7
612.8,1423.2
610.2,1663.7
615.8,1097.7
613.3,1391
614.7,1456.8
615.2,153.7
623.2,190.8
612.9,386.6
626.8,1040.8
617.5,1255.6
614.9,1692.7
617.7,129.7
616.8,788.2
618.7,1718.9
623.9,605.5
622.8,1122.3
619.3,556
619.6,1537.9
620.7,1601.8
626.6,1067.4
624.5,818.7
624.9,884
627.9,75.6
629.1,159
627.5,252.4
625.8,284.4
629.5,1229.4
631.1,315.4
635.2,1327.5
627.1,1497
636.6,359.3
626.2,1017.5
634.7,1684.1
630.1,103.9
630.2,1207.5
631.9,39.2
630.2,139.3
629,657.8
628,1381
633.9,752.6
635,892.6
634.9,333.3
633.8,1262.6
638.3,1587.2
636.7,205.8
634.1,1748
633.7,93.4
636.7,942
635.9,1420.6
637.4,816.2
639.3,1846.9
641.7,1526.3
639.6,1666.3
640.4,1059
647.5,1083.8
646.8,1243.9
644.9,507.9
646.1,385.1
